N°,PAIS,UNIVERSIDAD
386,ESTADOS UNIDOS,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY
387,ESTADOS UNIDOS,WAKE FOREST UNIVERSITY
388,ESTADOS UNIDOS,WASHINGTON STATE UNIVERSITY
389,ESTADOS UNIDOS,WASHINGTON UNIVERSITY IN ST. LOUIS
390,ESTADOS UNIDOS,WAYNE STATE UNIVERSITY
391,ESTADOS UNIDOS,WILLIAM & MARY UNIVERSITY
392,ESTADOS UNIDOS,YALE UNIVERSITY
393,ESTONIA,UNIVERSITY OF TARTU
394,FILIPINAS,ATENEO DE MANILA UNIVERSITY
395,FILIPINAS,UNIVERSITY OF THE PHILIPPINES
396,FINLANDIA,AALTO UNIVERSITY
397,FINLANDIA,LAPPEENRANTA-LAHTI UNIVERSITY OF TECHNOLOGY LUT
398,FINLANDIA,UNIVERSITY OF HELSINKI
399,FINLANDIA,UNIVERSITY OF JYVÄSKYLÄ
400,FINLANDIA,UNIVERSITY OF OULU
401,FINLANDIA,UNIVERSITY OF TAMPERE
402,FINLANDIA,UNIVERSITY OF TURKU
403,FINLANDIA,UNIVERSITY OF VAASA
404,FRANCIA,AIX-MARSEILLE UNIVERSITY
405,FRANCIA,CLAUDE BERNARD UNIVERSITY LYON 1
406,FRANCIA,ECOLE CENTRALE DE PARIS
407,FRANCIA,ECOLE DES PONTS PARISTECH
408,FRANCIA,ECOLE NORMALE SUPERIEURE DE LYON
409,FRANCIA,ECOLE POLYTECHNIQUE
410,FRANCIA,ENS PARIS-SACLAY
411,FRANCIA,IMT ATLANTIQUE
412,FRANCIA,INSTITUT POLYTECHNIQUE DE PARIS
413,FRANCIA,PANTHEON-SORBONNE UNIVERSITY - PARIS 1
414,FRANCIA,PARIS SCIENCES ET LETTRES - PSL RESEARCH UNIVERSITY PARIS
415,FRANCIA,SCIENCES PO
416,FRANCIA,SORBONNE UNIVERSITY
417,FRANCIA,TÉLÉCOM PARIS
418,FRANCIA,UNIVERSITE DE MONTPELLIER
419,FRANCIA,UNIVERSITÉ DE PARIS
